Month,Geography,Measure type,Unit of Measure,Value
1970-01,K02000001,Price,Pence per litre,4.08
1970-02,K02000001,Price,Pence per litre,4.09
1970-03,K02000001,Price,Pence per litre,4.07
1970-04,K02000001,Price,Pence per litre,3.73
1970-05,K02000001,Price,Pence per litre,2.9
1970-06,K02000001,Price,Pence per litre,2.86
1970-07,K02000001,Price,Pence per litre,3.31
1970-08,K02000001,Price,Pence per litre,3.71
1970-09,K02000001,Price,Pence per litre,3.92
1970-10,K02000001,Price,Pence per litre,4.24
1970-11,K02000001,Price,Pence per litre,4.23
1970-12,K02000001,Price,Pence per litre,4.38
1971-01,K02000001,Price,Pence per litre,4.35
1971-02,K02000001,Price,Pence per litre,4.39
1971-03,K02000001,Price,Pence per litre,4.43
1971-04,K02000001,Price,Pence per litre,4.1
1971-05,K02000001,Price,Pence per litre,3.22
1971-06,K02000001,Price,Pence per litre,3.26
1971-07,K02000001,Price,Pence per litre,3.73
1971-08,K02000001,Price,Pence per litre,4.14
1971-09,K02000001,Price,Pence per litre,4.5
1971-10,K02000001,Price,Pence per litre,4.56
1971-11,K02000001,Price,Pence per litre,4.74
1971-12,K02000001,Price,Pence per litre,4.74
1972-01,K02000001,Price,Pence per litre,4.74
1972-02,K02000001,Price,Pence per litre,4.82
1972-03,K02000001,Price,Pence per litre,4.72
1972-04,K02000001,Price,Pence per litre,4.46
1972-05,K02000001,Price,Pence per litre,3.59
1972-06,K02000001,Price,Pence per litre,3.57
1972-07,K02000001,Price,Pence per litre,3.91
1972-08,K02000001,Price,Pence per litre,4.3
1972-09,K02000001,Price,Pence per litre,4.65
1972-10,K02000001,Price,Pence per litre,4.67
1972-11,K02000001,Price,Pence per litre,4.74
1972-12,K02000001,Price,Pence per litre,4.76
1973-01,K02000001,Price,Pence per litre,4.78
1973-02,K02000001,Price,Pence per litre,4.81
1973-03,K02000001,Price,Pence per litre,4.75
1973-04,K02000001,Price,Pence per litre,4.66
1973-05,K02000001,Price,Pence per litre,3.8
1973-06,K02000001,Price,Pence per litre,3.81
1973-07,K02000001,Price,Pence per litre,4.21
1973-08,K02000001,Price,Pence per litre,4.66
1973-09,K02000001,Price,Pence per litre,5.08
1973-10,K02000001,Price,Pence per litre,5.15
1973-11,K02000001,Price,Pence per litre,6.46
1973-12,K02000001,Price,Pence per litre,6.46
1974-01,K02000001,Price,Pence per litre,6.53
1974-02,K02000001,Price,Pence per litre,6.46
1974-03,K02000001,Price,Pence per litre,5.62
1974-04,K02000001,Price,Pence per litre,5.5
1974-05,K02000001,Price,Pence per litre,4.65
1974-06,K02000001,Price,Pence per litre,4.67
1974-07,K02000001,Price,Pence per litre,5.05
1974-08,K02000001,Price,Pence per litre,5.4
1974-09,K02000001,Price,Pence per litre,5.82
1974-10,K02000001,Price,Pence per litre,7.61
1974-11,K02000001,Price,Pence per litre,7.69
1974-12,K02000001,Price,Pence per litre,7.69
1975-01,K02000001,Price,Pence per litre,7.79
1975-02,K02000001,Price,Pence per litre,7.76
1975-03,K02000001,Price,Pence per litre,7.62
1975-04,K02000001,Price,Pence per litre,7.35
1975-05,K02000001,Price,Pence per litre,6.47
1975-06,K02000001,Price,Pence per litre,6.47
1975-07,K02000001,Price,Pence per litre,6.84
1975-08,K02000001,Price,Pence per litre,7.27
1975-09,K02000001,Price,Pence per litre,8.85
1975-10,K02000001,Price,Pence per litre,8.61
1975-11,K02000001,Price,Pence per litre,8.69
1975-12,K02000001,Price,Pence per litre,8.74
1976-01,K02000001,Price,Pence per litre,8.8
1976-02,K02000001,Price,Pence per litre,8.76
1976-03,K02000001,Price,Pence per litre,8.63
1976-04,K02000001,Price,Pence per litre,9.06
1976-05,K02000001,Price,Pence per litre,8.19
1976-06,K02000001,Price,Pence per litre,8.16
1976-07,K02000001,Price,Pence per litre,8.59
1976-08,K02000001,Price,Pence per litre,9.05
1976-09,K02000001,Price,Pence per litre,9.82
1976-10,K02000001,Price,Pence per litre,9.9
1976-11,K02000001,Price,Pence per litre,9.98
1976-12,K02000001,Price,Pence per litre,10.03
1977-01,K02000001,Price,Pence per litre,10.15
1977-02,K02000001,Price,Pence per litre,10.1
1977-03,K02000001,Price,Pence per litre,10.05
1977-04,K02000001,Price,Pence per litre,9.8
1977-05,K02000001,Price,Pence per litre,8.97
1977-06,K02000001,Price,Pence per litre,8.97
1977-07,K02000001,Price,Pence per litre,9.35
1977-08,K02000001,Price,Pence per litre,9.78
1977-09,K02000001,Price,Pence per litre,10.13
1977-10,K02000001,Price,Pence per litre,10.7
1977-11,K02000001,Price,Pence per litre,10.78
1977-12,K02000001,Price,Pence per litre,10.45
1978-01,K02000001,Price,Pence per litre,10.43
1978-02,K02000001,Price,Pence per litre,10.25
1978-03,K02000001,Price,Pence per litre,10.12
1978-04,K02000001,Price,Pence per litre,10.15
1978-05,K02000001,Price,Pence per litre,9.44
1978-06,K02000001,Price,Pence per litre,9.45
1978-07,K02000001,Price,Pence per litre,9.79
1978-08,K02000001,Price,Pence per litre,10.22
1978-09,K02000001,Price,Pence per litre,10.59
1978-10,K02000001,Price,Pence per litre,11.16
1978-11,K02000001,Price,Pence per litre,11.26
1978-12,K02000001,Price,Pence per litre,11.24
1979-01,K02000001,Price,Pence per litre,11.29
1979-02,K02000001,Price,Pence per litre,11.25
1979-03,K02000001,Price,Pence per litre,11.12
1979-04,K02000001,Price,Pence per litre,11.05
1979-05,K02000001,Price,Pence per litre,10.19
1979-06,K02000001,Price,Pence per litre,10.17
1979-07,K02000001,Price,Pence per litre,10.55
1979-08,K02000001,Price,Pence per litre,11
1979-09,K02000001,Price,Pence per litre,11.35
1979-10,K02000001,Price,Pence per litre,11.91
1979-11,K02000001,Price,Pence per litre,12.23
1979-12,K02000001,Price,Pence per litre,12.26
1980-01,K02000001,Price,Pence per litre,12.41
1980-02,K02000001,Price,Pence per litre,12.92
1980-03,K02000001,Price,Pence per litre,12.8
1980-04,K02000001,Price,Pence per litre,12.47
1980-05,K02000001,Price,Pence per litre,11.56
1980-06,K02000001,Price,Pence per litre,11.55
1980-07,K02000001,Price,Pence per litre,11.93
1980-08,K02000001,Price,Pence per litre,12.37
1980-09,K02000001,Price,Pence per litre,12.72
1980-10,K02000001,Price,Pence per litre,13.29
1980-11,K02000001,Price,Pence per litre,13.4
1980-12,K02000001,Price,Pence per litre,13.44
1981-01,K02000001,Price,Pence per litre,13.45
1981-02,K02000001,Price,Pence per litre,13.41
1981-03,K02000001,Price,Pence per litre,13.28
1981-04,K02000001,Price,Pence per litre,13.43
1981-05,K02000001,Price,Pence per litre,12.6
1981-06,K02000001,Price,Pence per litre,12.59
1981-07,K02000001,Price,Pence per litre,12.97
1981-08,K02000001,Price,Pence per litre,13.4
1981-09,K02000001,Price,Pence per litre,13.75
1981-10,K02000001,Price,Pence per litre,14.32
1981-11,K02000001,Price,Pence per litre,14.42
1981-12,K02000001,Price,Pence per litre,14.46
1982-01,K02000001,Price,Pence per litre,14.48
1982-02,K02000001,Price,Pence per litre,14.43
1982-03,K02000001,Price,Pence per litre,14.3
1982-04,K02000001,Price,Pence per litre,14.41
1982-05,K02000001,Price,Pence per litre,13.76
1982-06,K02000001,Price,Pence per litre,13.58
1982-07,K02000001,Price,Pence per litre,13.96
1982-08,K02000001,Price,Pence per litre,14.38
1982-09,K02000001,Price,Pence per litre,14.73
1982-10,K02000001,Price,Pence per litre,15.44
1982-11,K02000001,Price,Pence per litre,15.5
1982-12,K02000001,Price,Pence per litre,15.54
1983-01,K02000001,Price,Pence per litre,15.52
1983-02,K02000001,Price,Pence per litre,15.56
1983-03,K02000001,Price,Pence per litre,15.38
1983-04,K02000001,Price,Pence per litre,14.28
1983-05,K02000001,Price,Pence per litre,13.45
1983-06,K02000001,Price,Pence per litre,13.45
1983-07,K02000001,Price,Pence per litre,13.74
1983-08,K02000001,Price,Pence per litre,14.17
