Month,Value,Measure,Units,Geography,Status
Jan-70,4.08,Price,Pence per litre,K02000001,Finalised
Feb-70,4.09,Price,Pence per litre,K02000001,Finalised
Mar-70,4.07,Price,Pence per litre,K02000001,Finalised
Apr-70,3.73,Price,Pence per litre,K02000001,Finalised
May-70,2.90,Price,Pence per litre,K02000001,Finalised
Jun-70,2.86,Price,Pence per litre,K02000001,Finalised
Jul-70,3.31,Price,Pence per litre,K02000001,Finalised
Aug-70,3.71,Price,Pence per litre,K02000001,Finalised
Sep-70,3.92,Price,Pence per litre,K02000001,Finalised
Oct-70,4.24,Price,Pence per litre,K02000001,Finalised
Nov-70,4.23,Price,Pence per litre,K02000001,Finalised
Dec-70,4.38,Price,Pence per litre,K02000001,Finalised
Jan-71,4.35,Price,Pence per litre,K02000001,Finalised
Feb-71,4.39,Price,Pence per litre,K02000001,Finalised
Mar-71,4.43,Price,Pence per litre,K02000001,Finalised
Apr-71,4.10,Price,Pence per litre,K02000001,Finalised
May-71,3.22,Price,Pence per litre,K02000001,Finalised
Jun-71,3.26,Price,Pence per litre,K02000001,Finalised
Jul-71,3.73,Price,Pence per litre,K02000001,Finalised
Aug-71,4.14,Price,Pence per litre,K02000001,Finalised
Sep-71,4.50,Price,Pence per litre,K02000001,Finalised
Oct-71,4.56,Price,Pence per litre,K02000001,Finalised
Nov-71,4.74,Price,Pence per litre,K02000001,Finalised
Dec-71,4.74,Price,Pence per litre,K02000001,Finalised
Jan-72,4.74,Price,Pence per litre,K02000001,Finalised
Feb-72,4.82,Price,Pence per litre,K02000001,Finalised
Mar-72,4.72,Price,Pence per litre,K02000001,Finalised
Apr-72,4.46,Price,Pence per litre,K02000001,Finalised
May-72,3.59,Price,Pence per litre,K02000001,Finalised
Jun-72,3.57,Price,Pence per litre,K02000001,Finalised
Jul-72,3.91,Price,Pence per litre,K02000001,Finalised
Aug-72,4.30,Price,Pence per litre,K02000001,Finalised
Sep-72,4.65,Price,Pence per litre,K02000001,Finalised
Oct-72,4.67,Price,Pence per litre,K02000001,Finalised
Nov-72,4.74,Price,Pence per litre,K02000001,Finalised
Dec-72,4.76,Price,Pence per litre,K02000001,Finalised
Jan-73,4.78,Price,Pence per litre,K02000001,Finalised
Feb-73,4.81,Price,Pence per litre,K02000001,Finalised
